一	Uno	ichi, itsu	hito-tsu
劇	Drama, obra de teatro	geki
勤	Tarea, servir	kin	tsuto-meru
危	Peligroso	ki	aya-ui
卵	Huevo	ran	tamago
厳	Solemne, estricto	gen	kibi-shii
収	Obtener	shū	osa-meru
后	Emperatriz	gō	kisaki
否	Negativa	hi	ina o iya
吸	Aspirar, chupar, fumar	kyū	su-u
呼	Llamar	ko	yo-bu
善	Bondad, virtud	zen	yo-i
困	Hacer daño, sufrir	kon	koma-ru
垂	Colgar	sui	ta-reru
城	Castillo	jō	shiro
域	Rango, región, límite	iki
奏	Tocar un instrumento	sō	kana-deru
奮	Mostrar habilidad	hun	huru-u
姿	Figura, forma	shi	sugata
存	Existir, proteger	son
孝	Devoción filial	kō
宅	Hogar	taku	ie
宇	Edificio grande, cielo	u
宗	Enseñaza religiosa	shū	sō
宙	Espacio	chū
宝	Tesoro	hō	takara
宣	Proclamar, anunciar	sen	notama-u
密	Denso	mitsu
寸	Longitud, medida	sun
専	Totalmente, especialmente	sen	moppa-ra
射	Disparar	sha	i-ru
将	Líder, cargo	shō
尊	Apreciar, valorar	son	touto-bu
就	Llegar al trabajo, realizar	shū	tsu-ku
尺	Regla, medida	shaku
届	Alcanzar, llegar		todo-ku
展	Desplegar, expandir	ten
層	Estrato, nivel	sō
己	Uno mismo	ko	onore
巻	Enrollar, rollo	kan	ma-ku
幕	Cortina	maku o baku
干	Airear, secar	kan	ho-su
幼	Infantil	yō	osana-i
庁	Oficina gobierno	chō
座	Sentarse	za	suwa-ru
延	Prolongar, alargar	en	no-basu
律	Ley, regla, ritmo musical	ritsu
従	Seguir, obedecer	jū	shitaga-u
忘	Olvidar	bō	wasu-reru
忠	Lealtad	chū
憲	Regulación, ley	ken
我	Yo, uno mismo, ego	ga	ware
批	Criticar	hi
担	Cargar, transportar	tan	nina-u
拝	Culto, adorar	hai	oga-mu
拡	Ensanchar, expandir	kaku	hiro-geru
捨	Tirar, arrojar	sha	su-teru
探	Buscar, explorar	tan	saga-su
推	Presionar	sui
揮	Manejar, ejercer	ki
操	Manipular, castidad	sō	ayatsu-ru
敬	Respeto, mostrar respero	kei	uyama-u
映	Reflejo, proyección	ei	utsu-ru
晩	Tarde, noche, anochecer	ban
暖	Templado, cálido	dan	atata-kai
暮	Anochecer, oscurecer	bo	ku-rasu
朗	Sonoro, melódico	rō	hoga-raka
机	Mesa, escritorio	ki	tsukue
枚	- nº de objetos planos	mai
染	Tinte, teñir	sen	so-meru
株	Tocón, raíz, acciones de bolsa	kabu
棒	Barra, vara	bō
模	Patrón, modelo, molde	mo or bo
権	Derechos	ken
樹	Árbol, vegetación	ju	ki
欲	Querer, desear	yoku	ho-shii
段	Escalón, paso	dan
沿	Bordear, seguir a lo largo de	en	so-u
泉	Manantial, fuente	sen	izumi
洗	Lavar, limpiar	sen	ara-u
派	Grupo, división	ha
済	Terminar, rescatar	sai	su-mu
源	Fuente, origen	gen	minamoto
潮	Agua de mar	chō	shio
激	Violento, furioso	geki	hage-shii
灰	Ceniza	kai	hai
熟	Madurar	juku	u-reru
片	Trozo	hen	kata
班	Grupo	han
異	Raro, extraño	i	koto-naru
疑	Dudar, desconfiar	gi	utaga-u
痛	Dolor, daño	tsū	ita-i
皇	Emperador	kō	ō
盛	Auge, prosperidad, prosperar	sei	mo-ru
盟	Juramento, promesa	mei
看	Ver, vigilar, cuidar	kan
砂	Arena, graa	sa or sha	suna
磁	Imán, porcelana	ji
私	Yo	shi	watakushi o watashi
秘	Secreto, esconder	hi
穀	Cereales	koku
穴	Agujero	ketsu	ana
窓	Ventana	sō	mado
筋	Músculo, tendón	kin	suji
策	Esquema, plan	saku
簡	Simple, breve	kan
糖	Azúcar	tō
系	Sistema, conexión	kei
紅	Carmesí, rojo fuerte	kō	beni o kurenai
納	Pagar, entregar	nō	osa-meru
純	Puro, genuino	jun
絹	Seda	ken	kinu
縦	Vertical	ju	tate
縮	Encoger, reducir	shuku	chidi-mu
署	Cargo, puesto	sho
翌	Siguiente, después	yoku
聖	Santo, sagrado	sei
肺	Pulmones	hai
背	Espalda, estatura	hai	se
胸	Pecho	kyō	mune
脳	Cerebro, sesos, intelecto	nō
腹	Barriga, estómago	fuku	hara
臓	Entrañas, víceras	zō
臨	Enfrentarte	rin	nozo-mu
至	Llegar, alcanzar	shi	ita-ru
若	Joven	jaku	waka-i
著	Expresar, publicar	cho	arawa-su o ichijiru-shii
蒸	Vapor	jō	mu-su
蔵	Almacén	zō	kura
蚕	Gusano de seda	san	kaiko
衆	Multitud, masas	shū
裁	Cortar (tela, papel), juzgar	sai	saba-ku
装	Decorar, vestirse	sō or shō	yosoo-u
裏	Reverso, opuesto	ri	ura
補	Compensar	ho	ogina-u
視	Inspeccionar	shi	mi-ru
覧	Ver, mirar	ran
討	Atacar, vengar	tō	u-tsu
訪	Visitar	hō	otozu-reru
訳	Traducir, razón	yaku	wake
詞	Poesía, palabra	shi	kotoba
誌	Documento escrito	shi
認	Reconocer	nin	mito-meru
誕	Nacimiento	tan
誠	Sinceridad, verdad	sei	makoto
誤	Error, equivocarse	go	ayama-ru
論	Teoría	ron
諸	Diversos, varios	sho	moro
警	Amonestar, advertir	kei
貴	Valioso, precioso	ki
賃	Salario, sueldo	chin
遺	Olvidar, dejar en herencia	i
郵	Correo	yū
郷	Ciudad natal, pueblo	kyō	gō
針	Aguja, alfiler	shin	hari
鋼	Acero	kō	hagane
閉	Cerrar	hei	shi-meru
閣	Torre, edificio alto	kaku
降	Caer, bajar	kō	o-riru
陛	Alteza, emperador, emperatriz	hei
除	Eliminar, quitar	jo o ji	nozo-ku
障	Estorbar	shō	sawa-ru
難	Difícil, imposible	nan	muzuka-shii
革	Cuero	kaku	kawa
頂	Cumbre, comer y beber [humilde]	chō	itada-ku
骨	Hueso	kotsu	hone
