一	Uno	ichi, itsu	hito-tsu
羽	Plumas	u	ha or hane
鳴	Emitir sonido (animal)	mei	na-ku
麦	Cebada, trigo	baku	mugi
米	Arroz	bei o mai	kome
茶	Té	cha o sa
色	Color	shoku	iro
黄	Amarillo	ō	ki
黒	Negro	koku	kuro
来	Venir	rai	ku-ru
行	Ir	kō o gyō	i-ku,yu-ku,okonau
帰	Volver	ki	kae-ru
歩	Andar	ho	aru-ku,ayu-mu
走	Correr	sō	hashi-ru
止	Parar	shi	to-maru
活	Vida, energía	katsu	i-kiru
店	Tienda	ten	mise
買	Comprar	bai	ka-u
売	Vender	bai	u-ru
午	Mediodía	go	uma
汽	Vapor	ki
弓	Arco	kyū	yumi
回	-nº de veces, girar	kai
会	Reunirse	kai o e	a-u
組	Grupo, equipo	so	kumi
船	Barco	sen	fune
明	Luz, claro	mei	aka-rui
社	Compañía	sha	yashiro
切	Cortar	setsu	ki-ru
電	Eletricidad	den
毎	Cada	mai
合	Ser correcto	gō	a-u
当	Acertar	tō	a-taru
台	Estante	dai o tai
楽	Diversión	raku	tano-shii
公	Público	kou	ōyake
引	Tirar	in	hi-ku
科	Departamento	ka
歌	Canción	ka	uta
刀	Espada	tō	katana
番	Turno, orden	ban
用	Usar	yō	mochi-iru
何	¿Qué?	ka	nani o nan
丁	Barrio, distrito	chō
世	Mundo	sei o se	yo
両	Ambos	ryō
主	Dueño, señor	shu	nushi o omo
乗	Montar, subir en vehículo	jō	no-ru
予	Previo	yo	
事	Cosa, hecho	ji	koto
仕	Servir, asistir	shi	tsuka-eru
他	Otro	ta	hoka
代	Sustituir	dai o tai	ka-waru o yo
住	Vivir	jū	su-mu
使	Usar	shi	tsuka-u
係	Deber, concernir	kei	kakari o kaka-ru
倍	Doble, veces	bai
全	Todo, entero	zen	matta-ku
具	Herramienta	gu
写	Copiar	sha	utsu-su
列	Fila, línea	retsu
助	Ayudar, salvar	jo	tasu-keru
勉	Esforzarse	ben	tsuto-meru
動	Moverse	dō	ugo-ku
勝	Ganar	shō	ka-tsu
化	Cambiar, transformarse	ka	ba-keru
区	Barrio	ku
医	Doctor, médico	i
去	Dejar, abandonar	kyo or ko	sa-ru
反	Anti-	han	so-ru
取	Tomar, coger	shu	to-ru
受	Recibir	ju	u-keru
号	Número	gō
向	Oponerse	kō	mu-kau
君	Tú	kun	kimi
味	Sabor	mi	aji o aji-wau
命	Vida	mei	inochi
和	Paz, calma	wa
品	Artículo	hin	shina
員	Empleado	in
商	Vender, negociar	shō
問	Pregunta	mon	to-u o ton
坂	Cuesta		saka
央	Centro, en medio	ō
始	Comenzar	shi	haji-meru
委	Confiar	i	yuda-neru
守	Guardar, proteger	shu	mamo-ru
安	Barato	an	yasu-i
定	Decidir	tei o jō	sada-meru
実	Fruta o contenido	jitsu	mi o mino-ru
客	Visitante	kyaku
宮	Príncipe	kyū	miya
宿	Posada, alojar	shuku	yado o yado-ru
寒	Frío	kan	samu-i
対	Opuesto	tai
局	Oficina	kyoku
屋	Casa, tienda	oku	ya
岸	Playa, costa	gan	kishi
島	Isla	tō	shima
州	Estado, provincia	shū
帳	Registro	chō
平	Llano, liso	hei o byō	tai-ra o hira
幸	Felicidad	kō	saiwa-i o shiawa-se
度	Veces, grados	do
庫	Almacén	ko
庭	Jardín	tei	niwa
式	Método, sistema	shiki
役	Oficio	yaku
待	Esperar	tai	ma-tsu
急	Apresurarse	kyū	iso-gu
息	Respiración	soku	iki
悪	Malo	aku	waru-i
悲	Tristeza	hi	kana-shii
想	Pensamiento	sō	omo-i
意	Idea	i
感	Sentimiento	kan
所	Lugar	sho	tokoro
打	Golpear	da	u-tsu
投	Lanzar, arrojar	tō	na-geru
拾	Recoger		hiro-u
持	Sostener	ji	mo-tsu
指	Dedo	shi	yubi o sa-su
放	Liberar	hō	hana-su
整	Poner en orden	sei	totono-eru
旅	Viaje	ryo	tabi
族	Tribu, familia	zoku
昔	Tiempo pasado		mukashi
昭	Luminoso	shō
暑	Caliente	sho	atsu-i
暗	Oscuro	an	kura-i
曲	Torcer, girar	kyoku	ma-garu
有	Tener, ser	yū	a-ru
服	Ropa	fuku
期	Periodo de tiempo	ki
板	Tablero	han o ban	ita
柱	Pilar	chū	hashira
根	Raíz	kon	ne
植	Plantar	shoku	u-eru
業	Negocio, industria	gyō
様	Señor	yō	sama
横	Lado	ō	yoko
橋	Puente	kyō	hashi
次	Siguiente	ji	tsugi o tsu-gu
歯	Dientes	shi	ha
死	Muerte	shi	shi-nu
